image_id,filename,relative_source_path,class_label,label,width,height,mode,file_extension,file_size_bytes,file_sha256,pixel_content_sha256,perceptual_hash,artifact_screening_status,inclusion_status
Negative/100.jpg,100.jpg,Negative/100.jpg,Negative,0,400,400,RGB,.jpg,50110,57272edae8691620147f3bc560d2fe1b096ab4de086979ce0d3e6703c5937319,9cf6dc7f69d596b157bba8f4bd90307c472b7f33bab778a80d50684d64cc9120,1011001011001011010100110011010011101101100101110100101011110001011010000110110011010110001001001001001000011010100101111010111010100000101101110010110000011111010101001001100111010100100011000101010110001100010110110110011011001011011000101011101001110011,flagged_for_visual_review,included
Negative/101.jpg,101.jpg,Negative/101.jpg,Negative,0,400,400,RGB,.jpg,54248,56750f78fc0e0b171cf788e460c8ef996d00d32d914fd7dcccaa249c6db2e0ce,ece3805a1147b0231804697435bc7eff91c2ef946bb09a8c2c78e717f5db892c,1111101010000001001011111000000011101011011101001010101010000001100000111010111111101101110101010111011101010000101000101011110100010101101000000001010101000011111010100110111101011010101011110101010010101110001011010100001010101000110000001101111001010110,flagged_for_visual_review,included
Negative/102.jpg,102.jpg,Negative/102.jpg,Negative,0,400,400,RGB,.jpg,41018,9d200a18ce1ae0e23b21cb0651770384a905409a5eb8312551a4984ffbaa1a08,37c73b67196ac3bb3ef6e1a0f3e2fb3567579d83ae3d6171b2c16934b3bb4e2b,1111100000111010000111100000111010110101110100001010011000110111001110000011101011100000101101001100010111011100101110011010010011000101110011000011110000111000001110011110011011100011001110010011110111110001010010111100001011001110000111000011100010111000,flagged_for_visual_review,included
Negative/103.jpg,103.jpg,Negative/103.jpg,Negative,0,400,400,RGB,.jpg,55624,362820d1761051bb9a5d526e63ac35873587b8ea7d4d4361d21d4acd0fa64bc4,2261ccaa9304aa25f387fd5901b2b5a3c0ca0bdafb724e950cb86d2a26a9937a,1111111111111111000010001011010010111111010010110110101010010101111100000100101100101010110101101101001010100001111001010111011010001001101010001011110101000010101110000111110110110000110010101100001000110101101000101111101111110000101110101111010001110101,flagged_for_visual_review,included
Negative/104.jpg,104.jpg,Negative/104.jpg,Negative,0,400,400,RGB,.jpg,43302,64e1accb9b94df530d38382d4712601fb72fcb2ff33a7f82123c731c869d5328,ec3962155f890340fb0403ed57b049e56490d9ed9b8f1b9dac114ca57fa583e1,1010111101100000000111110000101010101010001010010001001011011101111001010000111100110101100101001101101111010100001000000111011001000100000000110111111101101001110000001011111100011110110000101111110101111101000100100100010011010011001011000110011101000101,flagged_for_visual_review,included
Negative/105.jpg,105.jpg,Negative/105.jpg,Negative,0,400,400,RGB,.jpg,55193,ead01b0b16c14687bc2eb93693f2d0a3a9f9f23f80c39860ac0b64ab75c64d1e,8c37978e643d275ae37f5169352bd5d5e422ba64e75f706f5a150a0ad6e12a0f,1010001101010010010101100110001111101111101101000111010101000111001111011010010100101100100111110000110101101100100011101011111010000010010100110101001010110011111000000101100011011000100011000011100000000100111111100000011000101111001000110000011110010011,flagged_for_visual_review,included
Negative/106.jpg,106.jpg,Negative/106.jpg,Negative,0,400,400,RGB,.jpg,40183,1e8f63e5950ef5f3287258a6036cfddddb6cc90f4ebfa22f07fcd89b5c502e52,d2af9ebca060df337a3ed30cc2b478b41cefc9c9a14001820121af187741c077,1000000010010111101001000100101111000101011010101011001011100100110010001000100001011011011100111001100001011101001111111011001100110110011010110110110001011011010111011001001100001100001111001011100000000010001100001101001110111100100011100001010111010110,flagged_for_visual_review,included
Negative/107.jpg,107.jpg,Negative/107.jpg,Negative,0,400,400,RGB,.jpg,49199,a43fde673906c6d7716c4dba74891114390f6f8af0bcb8e567b2678fa7c2f903,01bced8a903aefc80bdc7e3cddb39c971c2e76e7795954be860f71c06e8216d2,1000100011001101111010111000100111101000010110011110111011001000011110101001110110101110101011000011110010001100001101000111001001011111011000100100110001011011100011000011001110000010010100011000011101110000001010111111010001001101110110010000000011101110,not_required,included
Negative/108.jpg,108.jpg,Negative/108.jpg,Negative,0,400,400,RGB,.jpg,53805,a35c4a1fda0edc4c6f042fc4532b85b00d9291fedad5411d472af4df57567322,9b5d15f9a3d429307ebba4c1b206d008b4cbadb57886226cab96aaba09fc660f,1001001110000010001110111100001100101011111100001001000011111100011010011000011110000001011101001011100000001101011010111100000000010111111010111001001010111101011011110100101110101110101001100101001001010001011011001100010011010101011110010000100001000110,flagged_for_visual_review,included
Negative/109.jpg,109.jpg,Negative/109.jpg,Negative,0,400,400,RGB,.jpg,52341,e0b50f18b3ab96942cc33e9362a5b268e1f120859ec52d408acade03ecaea145,7d292084dee8c30b59d7ea1970c27d5f00f294ae8730ab1077566058e1a9b804,1110110101011010111110011010010100011110000000110100011100011110011101010101000000011111011100010010001010010101111011100100000110011110001110100000011000001001100111000011100100111011011100010010000111001101110001000011000111100101100011110111100111111010,flagged_for_visual_review,included
